,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
264,Lebanon,90,US,1516618560,100,43.64,-72.25,32.0,2.15
265,Nong Khai,20,TH,1516617000,48,17.88,102.75,87.8,4.7
266,Kjopsvik,75,NO,1516618200,66,68.1,16.37,15.8,5.82
267,Mmabatho,40,ZA,1516615200,28,-25.85,25.61,86.0,13.87
268,Batabano,75,CU,1516614900,94,22.72,-82.29,69.8,6.93
269,Oshnaviyeh,40,IR,1516615200,60,37.04,45.1,41.0,4.7
270,Monte Alegre de Minas,0,BR,1516619545,64,-18.87,-48.88,83.88,4.61
271,Obeliai,0,LT,1516619546,82,55.94,25.8,19.12,9.75
272,Dogondoutchi,0,NE,1516619546,24,13.64,4.03,85.32,16.8
273,Shu,48,KZ,1516619547,84,43.6,73.76,20.11,5.84
274,Kreuztal,90,DE,1516618200,100,50.96,7.99,44.6,11.41
275,Utevka,92,RU,1516619548,87,52.9,50.95,21.46,11.21
276,Ryotsu,75,JP,1516617060,100,38.08,138.43,32.0,5.82
277,Karibib,0,NA,1516619549,64,-21.94,15.86,76.36,6.06
278,Hasaki,75,JP,1516617900,100,35.73,140.83,32.0,21.92
279,Jieshou,0,CN,1516619550,81,33.26,115.35,35.1,7.63
280,Ohara,75,JP,1516615200,86,35.12,135.83,37.4,3.36
281,Sheregesh,0,RU,1516619551,26,52.93,87.98,-18.77,3.38
282,Pastos Bons,92,BR,1516619552,98,-6.6,-44.09,73.3,3.04
283,Catumbela,0,AO,1516619553,42,-12.43,13.55,87.61,6.06
284,Dongli,40,CN,1516615200,72,24.18,117.61,62.6,13.42
285,Methoni,40,GR,1516618200,41,36.82,21.7,57.2,24.16
286,Orotukan,80,RU,1516619554,87,62.26,151.67,-21.11,2.59
287,Sajoszoged,0,HU,1516619555,89,47.95,21.0,31.45,9.53
288,Minab,0,IR,1516617000,27,27.15,57.07,73.4,11.41
289,Arauca,0,VE,1516619272,83,7.08,-70.76,72.67,4.72
290,Urazovo,88,RU,1516619556,91,50.09,38.04,20.29,9.19
291,Nawa,0,IN,1516619557,35,27.02,75.0,76.63,8.75
292,Brynmawr,75,GB,1516618200,87,51.8,-3.17,48.2,13.87
293,Huancavelica,92,PE,1516619558,98,-12.79,-74.97,38.2,1.92
294,Cabanas,75,ES,1516618800,82,43.42,-8.16,57.2,6.93
295,Rossland,88,CA,1516619559,80,49.08,-117.8,27.9,1.81
296,Sawtell,0,AU,1516617000,69,-30.38,153.1,77.0,9.17
297,Lichtenfels,90,DE,1516618200,86,50.15,11.06,30.2,6.93
298,Tam Ky,75,VN,1516617000,83,15.57,108.48,75.2,5.82
299,Triel-sur-Seine,92,FR,1516618800,93,48.98,2.01,55.4,6.93
300,Brody,92,UA,1516619562,92,50.08,25.14,26.05,8.97
301,Hermiston,1,US,1516618380,93,45.84,-119.29,39.2,8.05
302,Gagino,32,RU,1516619563,85,54.27,39.54,16.83,3.94
303,Amla,0,IN,1516619564,37,21.92,78.13,77.85,2.82
304,Porciuncula,48,BR,1516619564,75,-20.96,-42.04,78.16,3.38
305,Kuala Selangor,75,MY,1516615200,74,3.34,101.25,84.2,8.05
306,Leeton,76,AU,1516619565,42,-34.55,146.4,83.88,7.74
307,Isagarh,0,IN,1516619566,45,24.84,77.89,74.52,3.94
308,Durres,0,AL,1516618200,34,41.32,19.44,48.2,14.99
309,Malangali,88,TZ,1516619567,100,-8.57,34.85,63.27,5.28
310,Klyuchi,8,RU,1516619568,0,52.25,79.17,-30.61,8.08
311,Santa Vitoria do Palmar,0,BR,1516619435,96,-33.52,-53.37,74.56,10.65
312,Pavilosta,90,LV,1516618200,100,56.89,21.19,28.4,6.93
313,Macklin,56,CA,1516619570,80,52.34,-109.94,23.67,11.88
314,Pak Phanang,40,TH,1516615200,83,8.35,100.2,82.4,10.29
315,Ushibuka,0,JP,1516619571,100,32.19,130.02,41.85,5.28
316,Khajuraho,0,IN,1516619571,31,24.85,79.93,73.39,5.06
317,Fereydun Kenar,0,IR,1516615200,72,36.69,52.52,60.8,2.24
318,Amalner,0,IN,1516619572,34,21.04,75.07,84.64,6.29
319,Eureka,90,US,1516617300,100,40.8,-124.16,44.6,3.36
320,Bjornevatn,20,NO,1516618200,84,69.67,29.98,14.0,8.05
321,Zvenigovo,75,RU,1516617000,85,55.97,48.02,19.4,8.95
322,Douglas,90,US,1516618560,100,58.28,-134.39,33.8,2.48
323,Sandpoint,90,US,1516617300,86,48.28,-116.55,35.6,3.71
324,Loudi,76,CN,1516619577,92,27.73,112.0,47.43,3.04
325,Mendeleyevo,75,RU,1516617000,85,56.04,37.23,17.6,13.42
326,Bukoba,0,TZ,1516619578,70,-1.33,31.81,80.59,5.39
327,Beian,20,NO,1516618200,79,63.66,9.57,24.8,23.04
328,Ushuaia,75,AR,1516615200,56,-54.81,-68.31,42.8,11.41
329,Medvezhyegorsk,76,RU,1516619580,77,62.92,34.47,7.06,3.71
330,Itaunja,0,IN,1516617000,38,27.08,80.92,75.2,2.24
331,Foz,12,ES,1516619581,87,43.57,-7.26,58.0,14.79
332,Conguaco,0,GT,1516619581,76,14.05,-90.03,72.58,3.71
333,Jining,36,CN,1516619582,65,35.41,116.58,31.09,8.97
334,Domna,0,RU,1516617000,47,51.9,113.16,-13.01,6.71
335,Kinsale,75,IE,1516617000,87,51.71,-8.52,44.6,6.93
336,Segou,0,SN,1516619583,23,12.41,-12.29,85.18,10.76
337,Motygino,36,RU,1516619584,0,58.18,94.69,-37.18,4.16
338,Badulla,92,LK,1516619584,90,6.99,81.06,69.7,0.36
339,Twin Falls,90,US,1516617600,92,42.57,-114.46,33.8,3.49
340,Nizhniy Tagil,68,RU,1516619737,51,57.92,59.97,-3.16,10.76
341,Rajsamand,88,IN,1516619586,39,25.06,73.89,75.01,2.93
342,Lodwar,0,KE,1516619586,21,3.12,35.6,93.37,14.23
343,Biskamzha,0,RU,1516619587,0,53.45,89.53,-30.11,2.15
344,Makaha,40,US,1516615020,93,21.47,-158.22,75.2,3.36
345,Vila,0,IT,1516618200,39,45.18,8.4,48.2,4.7
346,Barstow,1,US,1516618500,34,31.46,-103.39,35.6,9.17
347,Luena,80,AO,1516619589,83,-11.78,19.91,74.07,3.71
348,Ciudad Valles,36,MX,1516619590,97,21.99,-99.01,58.5,3.6
349,Booue,76,GA,1516619590,94,-0.09,11.94,77.89,0.92
350,Sao Jose da Coroa Grande,92,BR,1516619591,88,-8.9,-35.15,80.73,9.53
351,Sopelana,40,ES,1516618800,71,43.38,-2.98,59.0,9.17
352,Ancud,0,CL,1516619592,82,-41.87,-73.83,53.55,3.27
353,Charyshskoye,32,RU,1516619156,31,51.4,83.56,-22.01,2.26
354,Kuching,75,MY,1516617000,94,1.56,110.34,78.8,8.41
355,Kondoa,0,TZ,1516619593,33,-4.91,35.78,84.78,9.42
356,Dafeng,88,CN,1516619594,77,33.2,120.46,40.54,13.33
357,Deer Lake,90,CA,1516618800,78,49.18,-57.43,15.8,10.29
358,Chodziez,20,PL,1516618800,86,52.99,16.92,28.4,11.41
359,Grimshaw,75,CA,1516618800,85,56.19,-117.61,12.2,3.36
360,Minsk,0,BY,1516617000,92,53.9,27.56,21.2,2.24
361,Ormond Beach,75,US,1516617480,100,29.29,-81.06,55.4,7.29
362,Tolmachevo,75,RU,1516617000,73,55.36,38.22,19.4,11.18
363,Pelym,0,RU,1516619598,67,61.01,62.0,-14.36,8.41
364,Parintins,8,BR,1516619598,93,-2.63,-56.73,76.63,3.27
365,Jiazi,0,CN,1516615200,73,19.61,110.49,73.4,6.71
366,Petrovskoye,75,RU,1516617000,85,56.26,36.47,15.8,13.42
367,Utica,90,US,1516618380,99,43.1,-75.23,35.6,4.7
368,Pauini,100,BR,1516619394,99,-7.71,-67.0,73.21,5.28
369,Merrill,90,US,1516618380,86,42.03,-121.6,33.8,3.36
370,Manadhoo,80,MV,1516619602,100,5.77,73.38,80.32,5.84
371,Kumba,36,CM,1516619603,57,4.64,9.44,85.95,6.96
372,Bisert,76,RU,1516619603,51,56.85,59.05,1.03,15.23
373,Galyugayevskaya,92,RU,1516619604,100,43.7,44.93,34.78,4.38
374,Wiarton,90,CA,1516615200,100,44.74,-81.13,33.8,6.93
375,Milton,90,US,1516618500,79,44.64,-73.11,30.2,12.75
